id,created_at,name,screen_name,verified,followers_count,friends_count,text,description,lang,time_zone,location
646712623317258240,Wed Sep 23 15:47:59 +0000 2015,Vox Populi,voxpopulimundi,False,1572,1849,“volkswagen necesita un nuevo comienzo”: ceo renuncia tras escándalo http://t.co/qwmqpv3h1k,somos un bot de twitter en donde podrás publicar de manera automática vía dm tus reclamos  quejas  problemas  denuncias. utiliza el ht #voxpopulimundi,es,NULL,isla de margarita  venezuela
646712625317978112,Wed Sep 23 15:47:59 +0000 2015,#Win2Win,AgenteBocaBoca,False,657,1966,wolfsburgo  la ciudad de volkswagen  teme acabar como el 'detroit europeo' http://t.co/vflx3qlmoo,NULL,es,madrid,españa
646712627444498434,Wed Sep 23 15:48:00 +0000 2015,#Win2Win,AgenteBocaBoca,False,657,1966,el ceo de volkswagen  martin winterkorn  anuncia su dimisión por el escándalo de las emisiones http://t.co/wckbs79iup,NULL,es,madrid,españa
646712635560431616,Wed Sep 23 15:48:02 +0000 2015,Alejandru El Honrado,alejandrus97,False,360,364,rt @xataka: auf wiedersehen  martin winterkorn! el caso volkswagen se cobra en el ceo su primera víctima  http://t.co/goptgohi1q http://t.c…,pro gamer de bf3 de pc y ps3. pero pro de pro eh?,es,madrid,mérida (badajoz cojones)
646712636940374017,Wed Sep 23 15:48:02 +0000 2015,Tu Dinero en Bolsa,tudineroenbolsa,False,413,35,wolfsburgo  la ciudad de volkswagen  teme acabar como el 'detroit europeo' http://t.co/fazyj4wthw #noticias,toda la actualidad de los mercados en una sola cuenta  noticias al minuto. #ibex35 #dowjones #nasdaq #eurostoxx #sp500 #nikkei #merval #ipsa #usx #bolsa,es,NULL,
646712639280803840,Wed Sep 23 15:48:03 +0000 2015,Tu Dinero en Bolsa,tudineroenbolsa,False,413,35,el ceo de volkswagen  martin winterkorn  anuncia su dimisión por el escándalo de las emisiones http://t.co/ubh8fzaor8 #noticias,toda la actualidad de los mercados en una sola cuenta  noticias al minuto. #ibex35 #dowjones #nasdaq #eurostoxx #sp500 #nikkei #merval #ipsa #usx #bolsa,es,NULL,
646712641805615106,Wed Sep 23 15:48:03 +0000 2015,Guille G. Alfonsín,GuilleAlfonsin,False,2387,1412,martin winterkorn  ceo de volkswagen  ha dimito http://t.co/9stt5wnq5f,ingeniero mecánico. fundador de http://www.pistonudos.com creador de la picadura del escorpion,es,madrid,spain
646712642208329728,Wed Sep 23 15:48:03 +0000 2015,ElSexenio,sexenio,False,197329,23296,volkswagen chief martin winterkorn resigns amid emissions scandal http://t.co/sgpw9t1l5m,te brindamos noticias locales  nacionales y del mundo.,es,mexico city,méxico d.f
646712642179104773,Wed Sep 23 15:48:03 +0000 2015,Lɑﮞ♕Hﻉleŋ ټ ☆彡,laurahelena,False,258,260,@volkswagenco respeto y aprecio a volkswagen  espero pronto se reivindique por el engaño descubierto con todas las personas que le admiramos,world's sexiest rocker psychologist. if u don't share a lot of time with me  u don't know me if u don't know me  u lose t best damn thing. así somos los cool!,es,eastern time (us & canada),colombia
646712644221730816,Wed Sep 23 15:48:04 +0000 2015,TODONOTICIAS,ClaudioOyarzunL,False,1463,2000,renuncia el presidente de volkswagen por el escándalo de motores diésel  la firma alemana reconoció que introdujo … http://t.co/oq5tjmu0ll,info/noticias  redes sociales  politica  educacion  capacitacion  moda  etc sigueme info/news  fashion & more...somos @chilefashion,es,santiago,los angeles  8º region  chile
646712644242669568,Wed Sep 23 15:48:04 +0000 2015,FRANCISCO LOPEZ NUÑE,FRANSCAR81,False,335,166,rt @eldiarioes: dimite el presidente de volkswagen por el escándalo de la manipulación de emisiones http://t.co/waodskyuyb http://t.co/zzqw…,NULL,es,NULL,
646712645886676992,Wed Sep 23 15:48:04 +0000 2015,Autonautas,Autonautas,False,34804,33952,el 3.0 tdi del #volkswagen  bajo investigación por la epa http://t.co/ippxaahrg1 #motor http://t.co/0y6oudtxnr,red social para apasionados de los automóviles y el automovilismo. gratis y en español. te esperamos en http://www.autonautas.com/,es,buenos aires,mundo de habla hispana
646712646717317120,Wed Sep 23 15:48:04 +0000 2015,Bolsa al minuto,bolsaalminuto,False,1091,67,wolfsburgo  la ciudad de volkswagen  teme acabar como el 'detroit europeo' http://t.co/mvlaulvsey #mercados,toda la información de los mercados en tiempo real #ibex35 #dowjones #nasdaq #nikkei #ipc #merval #ipsa #igbc #ftse100 #eurostoxx50 #metales #commodities,es,NULL,
646712647048667136,Wed Sep 23 15:48:05 +0000 2015,Lee de Caires,leedecaires,False,312,239,dimite el presidente de volkswagen winterkorn http://t.co/fdje2cjppg via @newsrepublices,recorriendo el mundo desde 1999 y lo empiezo a plasmar en mi blog,es,casablanca,tenerife
646712648550232064,Wed Sep 23 15:48:05 +0000 2015,Fernando Hidalgo A.,ferhidal01,False,302,670,rt @merca20: renuncia ceo de volkswagen - http://t.co/glsfd4kjmr http://t.co/nu7yheexf7,gobierno electrónico  ing. en sistemas  interés en: e-gob  proyectos tic  innovación  emprendimiento  técnología en general.,es,quito,quito - ecuador
646712648785133568,Wed Sep 23 15:48:05 +0000 2015,Bolsa al minuto,bolsaalminuto,False,1091,67,el ceo de volkswagen  martin winterkorn  anuncia su dimisión por el escándalo de las emisiones http://t.co/z28d3l02rl #mercados,toda la información de los mercados en tiempo real #ibex35 #dowjones #nasdaq #nikkei #ipc #merval #ipsa #igbc #ftse100 #eurostoxx50 #metales #commodities,es,NULL,
646712653646286849,Wed Sep 23 15:48:06 +0000 2015,REBA ॐ,THOYAM,False,470,1019,rt @noticiascaracol: ampliación renuncia presidente de volkswagen tras escándalo con 11 millones de autos diesel http://t.co/xlqg8n2irf htt…,mujer venezolana.seguidora de los 5 valores humanos (paz  amor  verdad  rectitud y la no violencia). demócrata 100%. no distingo raza o credo.,es,caracas,venezuela
646712655307255809,Wed Sep 23 15:48:07 +0000 2015,LasNoticiasDelMundo,mundonoticiasuy,False,178,212,el ceo de volkswagen renuncia tras escándalo ecológico - martin winterkorn asegura que la automotriz alemana neces... http://t.co/hlczixrk6w,todo lo que pasa en el mundo  en un solo lugar :),es,buenos aires,montevideo  uruguay
